Date,Close,High,Low,Open,Volume,ticker
2026-05-22,190.1999969482422,192.10000610351562,179.0,182.5,32473300,KCHOL.IS
2026-05-25,190.89999389648438,192.1999969482422,189.39999389648438,190.8000030517578,15395812,KCHOL.IS
2026-05-26,189.10000610351562,191.5,189.10000610351562,191.0,6708013,KCHOL.IS
2026-04-29,37.70000076293945,38.08000183105469,37.0,37.0,78487108,KRDMD.IS
2026-04-30,38.52000045776367,39.2599983215332,37.400001525878906,37.70000076293945,74492569,KRDMD.IS
2026-05-04,39.08000183105469,39.2599983215332,37.040000915527344,38.70000076293945,83032013,KRDMD.IS
2026-05-05,40.279998779296875,40.58000183105469,39.060001373291016,39.08000183105469,71284911,KRDMD.IS
2026-05-06,39.900001525878906,40.900001525878906,39.380001068115234,40.599998474121094,92854592,KRDMD.IS
2026-05-07,39.79999923706055,40.619998931884766,39.560001373291016,40.29999923706055,38812067,KRDMD.IS
2026-05-08,40.52000045776367,40.7400016784668,39.560001373291016,39.81999969482422,56741705,KRDMD.IS
2026-05-11,44.15999984741211,44.560001373291016,40.91999816894531,41.0,146772620,KRDMD.IS
2026-05-12,44.91999816894531,47.0,43.119998931884766,43.880001068115234,146778647,KRDMD.IS
2026-05-13,42.7599983215332,45.599998474121094,40.70000076293945,45.34000015258789,97818795,KRDMD.IS
2026-05-14,42.79999923706055,44.220001220703125,42.279998779296875,42.5,77540234,KRDMD.IS
2026-05-15,41.97999954223633,43.220001220703125,41.47999954223633,42.68000030517578,61252248,KRDMD.IS
2026-05-18,39.20000076293945,41.97999954223633,39.18000030517578,41.380001068115234,70664464,KRDMD.IS
2026-05-20,40.20000076293945,40.52000045776367,38.15999984741211,39.08000183105469,65602803,KRDMD.IS
2026-05-21,37.47999954223633,40.34000015258789,37.47999954223633,40.0,51488021,KRDMD.IS
2026-05-22,40.880001068115234,41.099998474121094,36.5,36.5,73312497,KRDMD.IS
2026-05-25,40.02000045776367,42.7400016784668,39.86000061035156,40.599998474121094,70005547,KRDMD.IS
2026-05-26,39.7400016784668,40.63999938964844,39.7400016784668,40.220001220703125,23925012,KRDMD.IS
2026-04-29,621.7958984375,622.7891826203075,615.3395512492511,618.8160458890775,1386975,MGROS.IS
2026-04-30,637.1918334960938,637.1918334960938,615.3395804377709,616.8295067826566,2036259,MGROS.IS
2026-05-04,636.1985473632812,647.6213159732387,635.7019052498048,640.6683263845689,2541203,MGROS.IS
2026-05-05,639.1784057617188,643.1515427050706,629.2455634033392,633.2187003466911,3237161,MGROS.IS
2026-05-06,678.9097900390625,682.8829270692838,655.5676099865125,656.0642521152902,5101224,MGROS.IS
2026-05-07,689.3392333984375,689.8358754974278,676.9231809236818,680.3996756166134,1788673,MGROS.IS
2026-05-08,683.3795166015625,691.8224321409714,679.4063798771349,687.3526533259902,1704259,MGROS.IS
2026-05-11,675.929931640625,686.8560583827953,674.4400052666928,683.3795635102866,2075272,MGROS.IS
2026-05-12,673.943359375,700.762033955877,673.943359375,680.3997069592851,3395510,MGROS.IS
2026-05-13,700.0,714.0,677.0,679.0,4226497,MGROS.IS
2026-05-14,724.0,727.0,704.5,704.5,3005288,MGROS.IS
2026-05-15,682.5,720.0,680.0,720.0,2967806,MGROS.IS
2026-05-18,664.5,684.0,664.5,683.5,2113454,MGROS.IS
2026-05-20,685.5,685.5,659.5,662.0,2005297,MGROS.IS
2026-05-21,659.0,689.5,654.0,687.0,1965479,MGROS.IS
2026-05-22,686.5,694.5,647.5,649.5,3506450,MGROS.IS
2026-05-25,679.5,695.0,674.0,687.5,1665766,MGROS.IS
2026-05-26,659.0,680.5,659.0,680.0,640106,MGROS.IS
2026-04-29,371.75,377.5,370.25,374.0,303944,OTKAR.IS
2026-04-30,382.75,383.0,375.25,375.25,595426,OTKAR.IS
2026-05-04,376.0,386.0,376.0,383.5,539601,OTKAR.IS
2026-05-05,379.0,381.75,375.75,376.0,354186,OTKAR.IS
2026-05-06,374.75,381.0,368.75,370.75,1277012,OTKAR.IS
2026-05-07,399.5,400.0,373.75,374.75,1826401,OTKAR.IS
2026-05-08,393.0,409.0,389.5,401.0,3040835,OTKAR.IS
2026-05-11,386.75,395.0,386.0,393.25,1153080,OTKAR.IS
2026-05-12,379.0,386.5,376.0,386.5,542789,OTKAR.IS
2026-05-13,372.0,382.5,371.25,379.0,525583,OTKAR.IS
2026-05-14,372.75,376.0,372.0,373.0,415949,OTKAR.IS
2026-05-15,366.25,372.5,366.0,372.0,363000,OTKAR.IS
2026-05-18,358.0,367.5,358.0,367.0,416370,OTKAR.IS
2026-05-20,352.75,358.75,350.0,358.0,380083,OTKAR.IS
2026-05-21,360.0,387.0,352.5,355.25,2188291,OTKAR.IS
2026-05-22,375.0,380.25,360.5,360.5,1337824,OTKAR.IS
2026-05-25,367.0,382.0,366.25,379.5,569546,OTKAR.IS
2026-05-26,369.0,371.0,367.0,367.0,195585,OTKAR.IS
2026-04-29,24.81999969482422,24.899999618530273,24.040000915527344,24.299999237060547,74752183,PETKM.IS
2026-04-30,23.899999618530273,25.360000610351562,23.5,24.959999084472656,95519222,PETKM.IS
2026-05-04,24.059999465942383,24.639999389648438,23.639999389648438,23.920000076293945,71804483,PETKM.IS
2026-05-05,24.1200008392334,24.219999313354492,23.68000030517578,24.1200008392334,45839526,PETKM.IS
2026-05-06,24.1200008392334,24.940000534057617,23.399999618530273,23.8799991607666,129111726,PETKM.IS
2026-05-07,23.760000228881836,24.479999542236328,23.459999084472656,24.34000015258789,67352061,PETKM.IS
2026-05-08,24.719999313354492,24.81999969482422,23.860000610351562,23.959999084472656,91831071,PETKM.IS
2026-05-11,26.139999389648438,26.68000030517578,25.260000228881836,25.260000228881836,93756546,PETKM.IS
2026-05-12,27.139999389648438,28.059999465942383,26.200000762939453,26.399999618530273,95204808,PETKM.IS
2026-05-13,26.520000457763672,27.200000762939453,26.239999771118164,27.139999389648438,45751252,PETKM.IS
2026-05-14,26.200000762939453,26.799999237060547,25.81999969482422,26.520000457763672,42193126,PETKM.IS
